Programa	Asignatura
Administración de Empresas	CURSO LIBRE ESTRATEGIAS DE NEGOCIOS                                                                                                                                                                     
Administración de Empresas	CURSO LIBRE ESTRATEGIAS SERVICIO AL CLIENTE                                                                                                                                                             
Administración de Empresas	CURSO LIBRE GESTION EMPRESARIAL                                                                                                                                                                         
Administración de Empresas	CURSO LIBRE INFORMATICA BASICA                                                                                                                                                                          
Administración de Empresas	CURSO LIBRE LA EDUCACION EN LA SOCIEDAD                                                                                                                                                                 
Administración de Empresas	CURSO LIBRE PRIMEROS AUXILIOS                                                                                                                                                                           
Administración de Empresas	CURSO LIBRE SALUD OCUPA.                                                                                                                                                                                
Administración de Empresas	CURSO LIBRE SEGURIDAD SOCIAL EN COLOMBIA                                                                                                                                                                
Administración de Empresas	CURSO LIBRE. DANZA MODERNA                                                                                                                                                                              
Administración de Empresas	CURSO LIBRE. DINAMIZADORES EN S. SEXU. Y REPR                                                                                                                                                           
