Programa	Asignatura
Odontología	CURSO LIBRE.SEXUALIDAD Y GENERO                                                                                                                                                                         
Odontología	CURSO LIBRE: ECONOMIA DEL TURISMO                                                                                                                                                                       
Odontología	CURSO LIBRE: ESPIRITU EMPRESARIAL                                                                                                                                                                       
Odontología	CURSO LIBRE: HABILIDADES GERENCIALES                                                                                                                                                                    
Odontología	CURSO LIBRE: PENSAMIENTO AMBIENTAL                                                                                                                                                                      
Odontología	CURSO LIBRE: PSICOLOGIA INDUSTRIAL                                                                                                                                                                      
Odontología	CURSO LIBRE:CONFERENCIA SALUD Y VIDA                                                                                                                                                                    
Odontología	CURSO LIBRE:SALUD OCUPACIONAL                                                                                                                                                                           
Odontología	CURSO VIRTUL SIEMBRA DE CULTIVOS                                                                                                                                                                        
Odontología	CV HIGIENE Y MANIPILACION DE ALIMENTOS                                                                                                                                                                  
Odontología	CV. CONTROL DE LA INFECCION EN EL MEDIO HOSPITALARIO                                                                                                                                                    
Odontología	CV. MANEJO HERRAMIENTAS MICROSOFT OFFICE 2007 WORD                                                                                                                                                      
Odontología	CV. PLAN DE MERCADEO                                                                                                                                                                                    
Odontología	CV. TECNICAS DE COMUNICACION EN EL NIVEL ADMINISTRATIVO                                                                                                                                                 
Odontología	CV.CONTROL DE LA INFECCION EN EL MEDIO HOSP.- DESINFECCION                                                                                                                                              
Odontología	CV: ACC. BASICAS PARA LA ATENCION PERSONA CON AFECT DE LA SA                                                                                                                                            
Odontología	CV: ACEITES ESENCIALES: EXTRACCION, USOS Y APLICACIONES                                                                                                                                                 
Odontología	CV: ADMINISTRACION DE RECURSOS HUMANOS                                                                                                                                                                  
Odontología	CV: ASPECTOS SANITARIOS EN LA NUTRICION Y ALIMENTACION                                                                                                                                                  
Odontología	CV: AUDITORIA INTERNA DE CALIDAD NTC ISO 9001                                                                                                                                                           
Odontología	CV: COCTELERIA MODERNA SIN ALCOHOL                                                                                                                                                                      
Odontología	CV: CONTABILIDAD EN LAS ORGANIZACIONES                                                                                                                                                                  
Odontología	CV: FUNDAMENTOS DE SALUD OCUPACIONAL                                                                                                                                                                    
Odontología	CV: GASTRONOMIA COLOMBIANA                                                                                                                                                                              
Odontología	CV: GESTION EMPRESARIAL                                                                                                                                                                                 
Odontología	CV: INDUCCION A LOS SISTEMAS DE GESTION DE LA CALIDAD                                                                                                                                                   
Odontología	CV: MERCADEO Y VENTAS                                                                                                                                                                                   
Odontología	CV:ADITIVO ANALISIS-CONTROL CALIDAD EN INDUSTRIA ALIMENTARIA                                                                                                                                            
Odontología	CV:FUNDAMENTOS PARA ADMIN. DE MEDICAMENTOS                                                                                                                                                              
Odontología	CV:NUTRICION Y ALIMENTACION EN EL DESARROLLO HUMANO                                                                                                                                                     
Odontología	CV:TECNICAS DE COMUNICACION EN EL NIVEL GERENCIAL                                                                                                                                                       
Odontología	CV:TOXICOLOGIA Y SEGURIDAD ALIMENTARIA                                                                                                                                                                  
Odontología	CVS: ACCIONES BASICAS PARA LA ATENCION DEL LESIONADO                                                                                                                                                    
Odontología	CVS: ADMINISTRACIÓN Y CONTROL DE INVENTARIOS                                                                                                                                                            
Odontología	CVS: ARQUITECTURA DE COMPUTADORES                                                                                                                                                                       
Odontología	CVS: AUTOCAD 2D                                                                                                                                                                                         
Odontología	CVS: AUTOCAD 3D                                                                                                                                                                                         
Odontología	CVS: CONTABILIDAD EN LAS ORGANIZACIONES                                                                                                                                                                 
Odontología	CVS: CONTROL Y MONITOREO DE LA FUERZA DE VENT                                                                                                                                                           
Odontología	CVS: COREL DRAW-TEXTOS Y ORGANIZACIÓN DE OBJE                                                                                                                                                           
Odontología	CVS: COREL DRAW-UTILIZ.HERR. DISEÑO VECTORIAL                                                                                                                                                           
Odontología	CVS: CREATIVIDAD PARA LA SOLUCIÓN DE CONFLICTOS LABORALES                                                                                                                                               
Odontología	CVS: CREATIVIDAD SOLUCIÓN CONFLICTOS LABORALES                                                                                                                                                          
Odontología	CVS: CURSO BASICO EN SALUD OCUPACIONAL                                                                                                                                                                  
Odontología	CVS: FUNDAMENTOS DE DISEÑO                                                                                                                                                                              
Odontología	CVS: FUNDAMENTOS PARA LA ADMCION DE MEDICAMENTOS                                                                                                                                                        
Odontología	CVS: GASTRONOMÍA COLOMBIANA                                                                                                                                                                             
Odontología	CVS: HUMANIZACION DE LOS SERVICIOS DE SALUD                                                                                                                                                             
Odontología	CVS: MANEJO DE ADOBE PHOTOSHOP                                                                                                                                                                          
Odontología	CVS: MANEJO DE HERRAMIENTAS INFORMAT: SOLID E                                                                                                                                                           
Odontología	CVS: MANEJO DE HERRAMIENTAS MICROSOFT OFFICE 2010:POWERPOINT                                                                                                                                            
Odontología	CVS: MENTALIDAD DE LIDER                                                                                                                                                                                
Odontología	CVS: OPORTUNIDADES DE NEGOCIO                                                                                                                                                                           
Odontología	CVS: PASTELERIA                                                                                                                                                                                         
Odontología	CVS: PLAN DE MERCADEO                                                                                                                                                                                   
Odontología	CVS: PROTECCION Y CONSERVACION DE ALIMENTOS                                                                                                                                                             
Odontología	CVS: SALUD OCUPACIONAL                                                                                                                                                                                  
Odontología	CVS: SERVICIO AL CLIENTE: UN RETO PERSONAL                                                                                                                                                              
Odontología	CVS: TECNICAS DE COMUNICACION EN EL NIVEL ADMINISTRATIVO                                                                                                                                                
Odontología	CVS: TRAZADO, CORTE Y CONFECCIÓN DE LA FALDA                                                                                                                                                            
Odontología	CVS: TURISMO EN ESPACIOS RURALES                                                                                                                                                                        
Odontología	CVS: USO DE EXCEL Y ACCESS PARA EL DESARROLLO DE APLICACIONE                                                                                                                                            
Odontología	CVS: VIVAMOS EL PATRIMONIO                                                                                                                                                                              
Odontología	CVS:CARACTERIZACION DEL SECTOR FINANCIERO                                                                                                                                                               
Odontología	CVS:CTRL DE LA INFECC. EN MEDIO HOSPITALARIO                                                                                                                                                            
Odontología	CVS:ESTRATEGIAS PARA EL DESARROLLO DEL PENSAMIENTO                                                                                                                                                      
Odontología	CVS:INDUCCION A PROCESOS PEDAGOGICOS                                                                                                                                                                    
Odontología	CVS:ORIENTAC.EN PLAN. FAMIL. Y LACTANCIA MATERNA                                                                                                                                                        
Odontología	DESARROLLO DE HABILIDADES DIGITALES PARA LA COMUN. Y COLA.                                                                                                                                              
Odontología	DESARROLLO DE HABILIDADES DIGITALES PARA LA CONSTRUCCIÓN DE                                                                                                                                             
Odontología	DESARROLLO DE HABILIDADES DIGITALES PARA LA GESTION DE LA IN                                                                                                                                            
Odontología	DESARROLLO DE HABILIDADES, PRINCIPIOS Y VALORES PARA LA VIDA                                                                                                                                            
Odontología	DESARROLLO DE LA INTELIGENCIA EMOCIONAL EN LO PERSONAL Y LAB                                                                                                                                            
Odontología	DESARROLLO DE NUEVAS ESTRATEGIAS COMERCIALES                                                                                                                                                            
Odontología	DESARROLLO DE PROYECTOS DECORATIVOS Y UTILITARIOS CON MATERI                                                                                                                                            
Odontología	DESARROLLO SOCIAL EN MARCO  LOS DERCH LOS NIÑOS, NIÑAS,ADOL                                                                                                                                             
Odontología	DIAGNOSTICO Y PLAN DE TRATAMIENTO                                                                                                                                                                       
Odontología	DIGITACION DE TEXTOS                                                                                                                                                                                    
Odontología	DINAMICA DE LA LECTO ESCRITURA                                                                                                                                                                          
Odontología	DISEÑO DE ARTESANIAS EN MACRAME                                                                                                                                                                         
Odontología	DISEÑO DE INSTRUMENTOS DE EVALUACIÓN                                                                                                                                                                    
Odontología	DISEÑO WEB CON ADOBE DREAMWEAVER                                                                                                                                                                        
Odontología	DISEÑO Y ELABORACION DE ACCESORIOS EN BISUTERIA                                                                                                                                                         
Odontología	DISEÑO Y MONTAJE DE SIST SOLARES FOTOVOLTAICOS BASICOS                                                                                                                                                  
Odontología	DISEÑO Y ORGANIZACION DE EVENTOS CREATIVOS                                                                                                                                                              
Odontología	DOLOR ONLINE                                                                                                                                                                                            
Odontología	ECONOMIA SOLIDARIA                                                                                                                                                                                      
Odontología	EDUCACION EN SALUD                                                                                                                                                                                      
Odontología	EDUCACION EN SALUD 1                                                                                                                                                                                    
Odontología	EDUCACION EN SALUD II                                                                                                                                                                                   
Odontología	EL ABC PARA FUNCIONARIOS DEL SENA                                                                                                                                                                       
Odontología	EL PROCESO DE LA VENTA                                                                                                                                                                                  
Odontología	ELABBORACION DE PATRONES BASICOS DE BLUSA PARA DAMAS                                                                                                                                                    
Odontología	ELABORACION DE ALIMENTOS DE PANIF DE MANERA ARTESANAL EN PAN                                                                                                                                            
Odontología	ELABORACIÓN DE ALIMENTOS DE PANIFICACION DE MANERA ARTESANA                                                                                                                                             
Odontología	ELABORACION DE ALIMENTOS SALUDABLES                                                                                                                                                                     
Odontología	ELABORACION DE BIOABONOS SOLIDOS                                                                                                                                                                        
Odontología	ELABORACIÓN DE BIOFERTILIZANTES A PARTIR DE RESIDUOS PECUARIOS                                                                                                                                          
Odontología	ELABORACION DE BIOINSUMOS PARA LA PRODUCCION AGROP ECOLOG                                                                                                                                               
Odontología	Elaboración de Cálculos Financieros con Microsoft Excell                                                                                                                                                
Odontología	Elaboración de Elementos Saludables                                                                                                                                                                     
Odontología	Elaboración de Produc. de Panadería y Pastel. de alta Gama                                                                                                                                              
Odontología	ELABORACION DE PRODUCTOS DE CHOCOLATERIA FINA ARTESANAL                                                                                                                                                 
Odontología	ELABORACION DE PRODUCTOS DE PANIFICACION                                                                                                                                                                
Odontología	ELABORACION DE PRODUCTOS DE REPOSTERIA                                                                                                                                                                  
Odontología	ELABORACION DE PRODUCTOS PANIFICABLES DE MASAS DULCES                                                                                                                                                   
Odontología	ELABORACION DE TEJIDOS EN TECNICA DE CROCHET                                                                                                                                                            
Odontología	ELABORAR CÁLCULOS Y TABLAS FINANCIERAS CON MICROSOFT EXCEL                                                                                                                                              
Odontología	ELEMENTOS PARA LA ADMON DEPORTIVA                                                                                                                                                                       
Odontología	EMPLEO DE TECNICAS EN LA SUPERVISON DE PRODUCCION                                                                                                                                                       
Odontología	EMPRENDIMIENTO DIGITAL                                                                                                                                                                                  
Odontología	EMPRENDIMIENTO EMPRESARIAL                                                                                                                                                                              
Odontología	ENDODONCIA I                                                                                                                                                                                            
Odontología	ENDODONCIA II                                                                                                                                                                                           
Odontología	ENDODONCIA II B                                                                                                                                                                                         
Odontología	ENGLISH DISCOVERIES INTERMEDIO I                                                                                                                                                                        
Odontología	ENGLISH DOES WORK - LEVEL 2                                                                                                                                                                             
Odontología	ENGLISH DOES WORK - LEVEL 3                                                                                                                                                                             
Odontología	ENGLISH DOES WORK - LEVEL 6                                                                                                                                                                             
Odontología	ENGLISH DOES WORK-LEVEL 1                                                                                                                                                                               
Odontología	ENGLISH DOT WORKS 1 INGLES                                                                                                                                                                              
Odontología	ENGLISH DOT WORKS 2                                                                                                                                                                                     
Odontología	ENGLISH DOT WORKS 3                                                                                                                                                                                     
Odontología	ENGLISH DOT WORKS 4 INGLES                                                                                                                                                                              
Odontología	ENGLISH DOT WORKS 5 INGLES                                                                                                                                                                              
Odontología	ENGLISH DOT WORKS 9 - INGLES                                                                                                                                                                            
Odontología	ENGLISH DOT WORKS BEGINNER - INGLES                                                                                                                                                                     
Odontología	ENGLISH DOT WORKS BEGINNER-INGLES PRINCIPIANTES                                                                                                                                                         
Odontología	ENGLISH DOT WORKS LEVEL 1                                                                                                                                                                               
Odontología	ENGLISH DOT WORKS LEVEL 1 INGLES 1                                                                                                                                                                      
Odontología	ENGLISH DOT WORKS LEVEL 2 - INGLES 2                                                                                                                                                                    
Odontología	ENGLISH DOT WORKS LEVEL 4- INGLÉS 4                                                                                                                                                                     
Odontología	EPIDEMIOLOGIA                                                                                                                                                                                           
Odontología	EPISTEMOLOGIA                                                                                                                                                                                           
Odontología	ESTABLECER ESTRATEGIAS LOGISTICAS                                                                                                                                                                       
Odontología	ESTABLECIMIENTO DE CULTIVOS HORTICOLAS                                                                                                                                                                  
Odontología	ESTRATEGIAS APLICADAS A LA ORGANIZACION DE EVENTOS                                                                                                                                                      
Odontología	ESTRATEGIAS DE PREVENCION DEL EMBARAZO NO DESEADO EN ADOLESC                                                                                                                                            
Odontología	ESTRATEGIAS PARA EL MEJORAMIENTO DE LA COMPRENSION LECTORA                                                                                                                                              
Odontología	ESTRATEGIAS PARA EL MEJORAMIENTO DE LA COMPRESION LECTORA                                                                                                                                               
Odontología	ESTRATEGIAS PEDAGOGICAS PARA EL DESARROLLO DEL PENSAMIENTO                                                                                                                                              
Odontología	ESTRATEGIAS Y MEDIOS PARA EL APRENDIZAJE DE TECNOLOGÍAS                                                                                                                                                 
Odontología	ESTRUCTURACION DE UN MODELO DE NEGOCIO VERDE E INCLUSIVO                                                                                                                                                
Odontología	ETICA EN LO PERSONAL Y LABORAL                                                                                                                                                                          
Odontología	ETICA GENERAL                                                                                                                                                                                           
Odontología	ETICA PARA EL ODONTOLOGO                                                                                                                                                                                
Odontología	ETIQUETA Y PROTOCOLO EN EL SERVICIO A LA MESA                                                                                                                                                           
Odontología	FACTURACION DE LOS SERVICIOS DE LA  SALUD                                                                                                                                                               
Odontología	FARMACOLOGIA                                                                                                                                                                                            
Odontología	FARMACOLOGIA BASICA                                                                                                                                                                                     
Odontología	FARMACOTERAPEUTICA                                                                                                                                                                                      
Odontología	FISIOLOGIA                                                                                                                                                                                              
Odontología	FORENSE                                                                                                                                                                                                 
Odontología	FORMACION DE LIDERES CON TALENTO, INTEGRALES Y COMPETITIVOS                                                                                                                                             
Odontología	FORMADORES EN CULTURA DE PAZ                                                                                                                                                                            
Odontología	FORMULACION DE PROYECTOS EN MI PROFESION                                                                                                                                                                
Odontología	FORMULACION DE SISTEMAS DE GESTION AMBIENTAL                                                                                                                                                            
Odontología	FORTALECIMIENTO DE LAS COMP. CLAVES EN LEC. CRITICA, RAZONAM                                                                                                                                            
Odontología	FORTALECIMIENTO EN COMERC DE PRODUCTOS Y SERVICIOS RURALES                                                                                                                                              
Odontología	FRANCES I                                                                                                                                                                                               
Odontología	FUNDAMENTACION DE UN SISTEMA DE GESTION DE LA CALIDAD                                                                                                                                                   
Odontología	FUNDAMENTACION ELECTIVA                                                                                                                                                                                 
Odontología	FUNDAMENTACION EN GESTION DEL TURISMO                                                                                                                                                                   
Odontología	FUNDAMENTACION EN SIST GEST AMB BAJO NORMA NTC ISO 14001:04                                                                                                                                             
Odontología	FUNDAMENTACION EN TECNICA VOCAL                                                                                                                                                                         
Odontología	FUNDAMENTACION PARA LA PARTICIPACION EN LOS MERCADOS INTERN.                                                                                                                                            
Odontología	FUNDAMENTOS BASICOS PARA LA ELABORACION DE NOMINA Y PREST SO                                                                                                                                            
Odontología	FUNDAMENTOS DE ELECTRICIDAD                                                                                                                                                                             
Odontología	FUNDAMENTOS DE LA GESTION DE MERCADEO Y VENTAS                                                                                                                                                          
Odontología	FUNDAMENTOS EN DISEÑO Y ELABORACIÓN DE BASES DE DATOS CON MICROSOFT ACCESS                                                                                                                              
Odontología	FUNDAMENTOS EN HIDROTERAPIA APLICADA A LA ESTÉTICA                                                                                                                                                      
Odontología	Gest, Terrt de las Estrate de Entornos Saludables                                                                                                                                                       
Odontología	GEST. DEL TAL. HUM:UN ENCUENTRO CON LA ETICA  CONTEX LAB E I                                                                                                                                            
Odontología	GESTION AMBIENTAL Y MANEJO DE RESIDUOS SOLIDOS                                                                                                                                                          
Odontología	GESTION DEL DESARROLLO DEL TALENTO HUMANO                                                                                                                                                               
Odontología	GESTION EN RIESGOS LABORALES PARA CONDUCTORES                                                                                                                                                           
Odontología	GESTION LOCAL DE LA ESTRATEGIA DE VIVIENDA SALUDABLE                                                                                                                                                    
Odontología	GESTION TALENTO HUMANO: UN ENCUENTRO ETICA CONT LABORA E IND                                                                                                                                            
Odontología	GUARDIANES DE LA DEMOCRACIA                                                                                                                                                                             
Odontología	HABILIDADES PARA LA PROMOCION DE DERECHOS HUMANOS SEXUALES Y                                                                                                                                            
Odontología	HABILIDADES PARA LA VIDA                                                                                                                                                                                
Odontología	HABITOS SALUDABLES A PARTIR DE LA ALIMENTACION Y LA ACT FISI                                                                                                                                            
Odontología	HERRAMIENTAS TIC PARA LA CREACION DE RECURSOS DIDACTICOS                                                                                                                                                
Odontología	HIGIENE PARA MANIPULADORES DE ALIMENTOS                                                                                                                                                                 
Odontología	HIGIENE Y MANIPULACION DE ALIMENTOS                                                                                                                                                                     
Odontología	HIGIENE Y MANIPULACION DE ALIMENTOS -TV WEB                                                                                                                                                             
Odontología	HUMANIDADES                                                                                                                                                                                             
Odontología	HUMANIDADES I                                                                                                                                                                                           
Odontología	HUMANIDADES II                                                                                                                                                                                          
Odontología	HUMANIZACION DE LA ATENCION EN SALUD                                                                                                                                                                    
Odontología	HUMANIZACION EN LA PRESTACION DE SERVICIOS DE SALUD                                                                                                                                                     
Odontología	IDENTIFICACION DE OPORTUNIDADES DE MERCADEO                                                                                                                                                             
Odontología	IMPLEMENTACION DE ACCIONES EDUCATIVAS PARA EL FORTALECIMIENTO DE LAS ESTRATEGIAS DE ENTORNOS SALUDAB                                                                                                    
Odontología	IMPLEMENTACION DE HERRAMI LEAN COMO MEJORA A LA CAD DE VALO                                                                                                                                             
Odontología	IMPLEMENTACION DE LA ESTRATEGIA DE ENTORNOS SALUDABLES                                                                                                                                                  
Odontología	IMPLEMENTACION DE LA RESPONSA. AMBIENTAL COMO MOD. DE VIDA                                                                                                                                              
Odontología	IMPLEMENTACION DEL SIST DE GEST DE LA SEGUR Y SALUD EN EL TR                                                                                                                                            
Odontología	IMPLEMENTACION DEL SIST. DE GEST DE LA SEG. Y SALUD EN TRABA                                                                                                                                            
Odontología	IMPLEMENTACION DEL SISTEMA DE GEST. DE LA SEG, Y SALUD EN EL                                                                                                                                            
Odontología	IMPLEMENTACIÓN DEL SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALU                                                                                                                                            
Odontología	INDUCCION A LOS SISTEMAS DE GESTION AMBIENTAL                                                                                                                                                           
Odontología	INFORMATICA                                                                                                                                                                                             
Odontología	INFORMATICA BASICA PARTE 1                                                                                                                                                                              
Odontología	INFORMATICA: MICROSOFT WORD, EXCEL E INTERNET                                                                                                                                                           
Odontología	INFORMATICA:MICROSOFT WORD, EXCEL E INTERNET                                                                                                                                                            
Odontología	INGLES BASICO - NIVEL 1                                                                                                                                                                                 
Odontología	INGLÉS ELEMENTARY                                                                                                                                                                                       
Odontología	INGLES I                                                                                                                                                                                                
Odontología	INGLES II                                                                                                                                                                                               
Odontología	INGLES III                                                                                                                                                                                              
